Name,Price,Description,Rate,Rating_count,image,Brand,Gender,Product_Type,Character_x,Fragrance_Family,Size,Year,Ingredients,Concentration,Top_note,Middle_note,Base_note
Dolce & Gabanna L'imperatrice 3 Pour Femme,199,"Perfume for the energetic woman who is a hero in her movie in life every day! It keeps you vibrant and sparkling with irresistible attractiveness, a combination of kiwi, lemon and sandalwood.",5,6,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/4/3423473020615-dolce-_-gabbana-l_imperatrice-01_1_.png,Dolce&Gabbana,Women,Perfume,Romantic,Floral,100 ml,2009,"watermerlon, kiwi, pink cyclamen, musk, pink pepper, jasmine, sandalwood, lemon tree",Eau de Toilette,"pink pepper, kiwi, rhubarb","jasmine, cyclamen, watermelon","musk, sandalwood, lemon trees."
Roberto Cavalli Paradiso,169,"Woody floral fragrance, a subtle aroma that makes you feel fresh with a stunning blend of citrus, jasmine, and cypress.",4.95,17,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3607347733423c-roberto-cavalli-paradiso---75-ml.jpg,Roberto Cavalli,Women,Perfume,Romantic,Woody,50 ml,2015,"citrus, mandarin, bergamot, jasmine, pine, cypress, laurel.",Eau de Parfum,"citruses , mandarin , bergamot",jasmine,"cypress, parasol pine, pink laurel"
Yves Saint Laurent Libre,389,"This perfume is a reflection of Freedom, specially designed for bold women, for those who live by their own rules, to enjoy the unique fusion of French lavender & orange blossoms from Morrocco. A statement of freedom with an additional whiff of daring musky notes.",5,3,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614272648418c-yves-saint-laurent-libre---90-ml_1_.jpg,Yves Saint Laurent,Women,Perfume,Romantic,Floral,90 ml,2019,"mandarin orange, lavendar, black currant, petitgrain, jasmine, orange blossom, vanilla, cedar, musk, ambergris",Eau de Parfum,"mandarin orange, lavendar, black currant, petitgrain","jasmine, orange blossom","vanilla, cedar, musk, ambergris"
Mancera Red Tobacco,499,"Mancera Red Tobacco is the new oriental, woody fragrance for men and women. Its the best oriental scent, full of life and attractiveness. This perfume contains a very high quality ingredients. A must have perfume!:",4.38,8,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3607347733423c-mancera-red-tobacco---120-ml.jpg,Mancera,Women,Perfume,Romantic,Oriental,120 ml,2017,"saffron, cinnamon, incense, nutmeg, white peach, green apple & nepalese oud, leaves of patchouli, delicate jasmine, precious tobacco, amber, woody notes, vetiver, vanilla pods, white musk.",Eau de Parfum,"saffron, cinnamon, incense, nutmeg, white peach, green apple, nepalese","patchouli, jasmine","tobacco, amber, woody notes, vetiver, vanilla, white musk"
Giorgio Armani Emporio Armani Stronger With You Intensely,399,"for every romantic gentle man, This strong fascinating fragrance is for you. It was released to capture all people hearts from the first smell to tell a story of an outstanding emotional man who is deeply in love and is ready to do anything for their lovers.",5,3,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614272225718-giorgio-armani-emporio-armani-stronger-with-you-intensely.jpg,Giorgio Armani,Men,Perfume,Romantic,Aromatic,100 ml,2019,"spices, violet, lavender, sweet toffee, caramel, cinnamon, suede, vanilla, amber",Eau de Parfum,"pink pepper, juniper, violet leaf","lavender, sage, toffee, cinnamon","tonka bean, suede, amber, vanilla"
Versace Eros Pour Femme EDP,229,"A woody floral fragrance, embodying love and beauty for the Greeks, that lasts long and is made of a blend of high-quality notes of peony, sensual wood, musk, and jasmine.",4.79,7,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/v/e/versace-eros_pour_femme_1.jpg,Versace,Women,Perfume,Sophisticated,Woody,100 ml,2014,"sicilian lemon, calabrian bergamot, pomegranate, lemon flower, sambac jasmine, jasmine infusion, peony, sandlewood, ambrox, musks, sensual wood.",Eau de Parfum,"sicilian lemon, calabrian bergamot, pomegranate","lemon, sambac jasmine, peony","sandalwood, ambrox, musk,woods"
Roberto Cavalli Florence,167,"A chypre floral fragrance inspired by the city of Florence that known of its historical, artistic and cultural beauty, with a mixture of mandarin, grapefruit, patchouli, and amber.",4.83,5,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614223519576c-roberto-cavalli-florence---75-ml.jpg,Roberto Cavalli,Women,Perfume,Romantic,Floral,50 ml,2016,"mandarin, orange, black currant, orange blossom, grapefruit blossom, patchouli, musk, amber",Eau de Parfum,"mandarin, orange","black currant, orange blossom, grapefruit blossom"," patchouli, musk, amber"
Xerjoff Casamorati La Tosca,1403,"XERJOFF Casamorati La Tosca Perfume an amazing for women, such perfect works of art! You will adore this glorious, elegant, charming perfume completely!",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8033488154585-xerjoff-casamorati-la-tosca.png,Xerjoff,Women,Perfume,Feminine,Floral,100 ml,2015,"violet leaf, eucalyptus, musk, patchouli, green mandarin, italian lemon, rose, amber, vanilla",Eau de Parfum,"violet leaf, eucalyptus, musk","patchouli, green mandarin","italian lemon, rose, amber, vanilla"
Chopard Oud Malaki,295,"Composition of the new fragrance CHOPARD OUD MALAKI offers luminous accords of grapefruit in the very top of the composition, along with aromatic blend of artemisia and lavender. The heart accentuates masculinity with leather accords combined with tobacco and spices, while base notes highlight oriental notes with a combination of oud, ambergris and mysterious, dark, woody notes..",4.88,5,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_chopard_perfumes_oud_malaki_eau_de_parfum_80ml.jpg,Chopard,Unisex,Perfume,Charismatic,Oriental,80 ml,2012,"grapefruit, lavender, artemisia, leather, spices, tobacco, amber, dark wood, agarwood",Eau de Parfum,"grapefruit, lavender, artemisia","leather, spices, tobacco","amber, dark woods, oud"
Uniqo Tempesta EDP ,110,"A unique scent inspired by the magnetic force of Tempesta (Storm in Italian). This life-shifting power, chaotic yet undescribable with its' blend of marine accords, bay leaf & ambergris.",5,1,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/u/n/uniqo-tempesta.png,Uniqo,Men,Perfume,Romantic,Aromatic,100 ml,2019,"marine accords, bay leaf, ambergris",Eau de Parfum,marine accords,bay leaf,ambergris
