Name,Price,Description,Rate,Rating_count,Details,image,Brand,Gender,Product_Type,Character,Fragrance_Family,Size,Year,Ingredients,Concentration,Top_note,Middle_note,Base_note
Roberto Cavalli Uomo Roberto Cavalli,167 SAR,"an elegant oriental fragrance for men that gives you great natural confidence and temptation, with a mixture of black violet, honey, and tonka beans.
About the brand:
Browse a wide range of original Roberto Cavalli perfumes, straight outta Italy. It would be safe to say that Roberto Cavalli has been successful in preserving its heritage and legacy.",4.75,12 Rating,"['Roberto Cavalli', 'Men', 'Perfume', 'Charismatic', 'Oriental', '100 ml', '2016', 'Black Violet, Saffron, Honey, Lavender, Cedarwood, Patchouli, Tonka.', 'Eau de Toilette', 'Black violet, Saffron', 'Honey, Lavender', 'Cedarwood, Patchouli, Tonka.']",none,Roberto Cavalli,Men,Perfume,Charismatic,Oriental,100 ml,2016,"Black Violet, Saffron, Honey, Lavender, Cedarwood, Patchouli, Tonka.",Eau de Toilette,"Black violet, Saffron","Honey, Lavender","Cedarwood, Patchouli, Tonka."
Mont Blanc Explorer,205 SAR,"It is an amazing woody fragrance, designed for men. It's a fragrance that tells the story of adventures, quests and aspirations, in addition to exploring the world. High notes consist of Clary Sage, Pink Pepper, Bergamot, while bottom notes consist of Vetiver, Leather, Cedarwood. This complete blend gives an attractive fragrance.
About the brand:
The Mont Blanc is named after the snow-capped peak of the Alps. The firm has made a mark in the market for prestigious writing instruments for years, but has also expanded into a plethora of different product lines, from Swiss-made watches to eyewear and fragrances in an attempt to complete the luxurious lifestyle, all capped with the emblematic white peak design. The Mont Blanc has distinctive fragrances which are reminders of special moments, aimed at men and women who know how to distinguish themselves in a royal, elegant manner.",4.42,13 Rating,"['Mont Blanc', 'Men', 'Perfume', 'Charismatic', 'Aromatic', '100 ml', '2019', 'Bergamot, Pink Pepper, Clary, Sage, Leather, Haitian, Vetiver, Indonesian Patchouli, Leaf Cacao, Akigalawood', 'Eau de Parfum', 'Clary Sage, Pink Pepper, Bergamot', 'Patchouli, Mahonial, Ambrofix', 'Vetiver, Leather, Cedarwood']",none,Mont Blanc,Men,Perfume,Charismatic,Aromatic,100 ml,2019,"Bergamot, Pink Pepper, Clary, Sage, Leather, Haitian, Vetiver, Indonesian Patchouli, Leaf Cacao, Akigalawood",Eau de Parfum,"Clary Sage, Pink Pepper, Bergamot","Patchouli, Mahonial, Ambrofix","Vetiver, Leather, Cedarwood"
Maqam Al Shoyoukh EDP - 120 ml,700 SAR,"The word ""Sheikh"" has a deep and long history in the Oriental world, and for a long time, this word has always been reflected with luxury and pride. We offer you this perfume to take you on a captivating journey to Europe with Moroccan jasmine and rose. After, you will feel the fragrance of authentic amber with notes of musk and aged Virginia cedarwood that will create mountains of solidity and strength inside your soul. You will also experience the scent of red apple along with the sweetness of caramel for a sprinkle of deliciousness. This perfume is specially made to make you feel the oriental luxury that surrounds us with its endless splendor.
About the brand:
A brand designed to capture the essence of Arabian literature & honor the beauty of its written poems. Each fragrance from Maqam has been designed with famous Golden verses, to carry both exotic blends & inspiring words. These timeless fragrances are not easy to resist nor to be forgotten. Maqam was created by the founders of Sarib® - An Arabian perfume house, to capture the magic behind Arabian words & aromatic components, added into creatively crafted bottles to present its luxurious scents perfectly.
Get to know Sarib®:
""A Story Behind Every Perfume"" Introducing Arabian aromatic drops with a unique approach that combines modern heritage and western inspiration. Each has its own identity with the finest ingredients & aromatic notes.
*Approved by the Saudi Food & Drug Authority",5,1 Rating,"['Maqam', 'Unisex', 'Perfume', 'Sensual', 'Floral Oriental', '120 ml', '2021', 'Valerian, Lactonic (Milky), Fruity (Red Apple), Rose, Moroccan Jasmine, Lily, Amber, Woody (Virginia Cedarwood), Caramel, Musk', 'Eau de Parfum', 'Valerian, Lactonic (Milky), Fruity (Red Apple)', 'Rose, Moroccan Jasmine, Lily', 'Amber, Woody (Virginia Cedarwood), Caramel, Musk']",none,Maqam,Unisex,Perfume,Sensual,Floral Oriental,120 ml,2021,"Valerian, Lactonic (Milky), Fruity (Red Apple), Rose, Moroccan Jasmine, Lily, Amber, Woody (Virginia Cedarwood), Caramel, Musk",Eau de Parfum,"Valerian, Lactonic (Milky), Fruity (Red Apple)","Rose, Moroccan Jasmine, Lily","Amber, Woody (Virginia Cedarwood), Caramel, Musk"
Tom Ford Noir Extreme,587 SAR,"Tom Ford Noir extreme Eau de parfume for men is rich in spicy ingredients and glowing citrus. The vibrant blend of floral notes - absolute rose, jasmine, orange flowers, amber, elegant sandalwood and melted vanilla juice, mysteriously preserves the elegance of the men.
About the brand:
Tom Ford is a famous American designer who launched his brand in 2005 with the aim of redefining modern luxury. These include men's clothes, women's clothing, accessories, sunglasses and parfumes",none,none,"['Tom Ford', 'Men', 'Perfume', 'Romantic', 'Soft Oriental', '50 ml', '2015', 'Mandarin, orange blossom, saffron, nutmeg, rose, jasmine, orange buds, woods, amber, sandalwood and vanilla.', 'Eau de Parfum', 'Bergamot, bitter orange, mandarin and ginger.', 'Rose, jasmine, orange buds.', 'vanilla, amber, sandalwood and mastic']",none,Tom Ford,Men,Perfume,Romantic,Soft Oriental,50 ml,2015,"Mandarin, orange blossom, saffron, nutmeg, rose, jasmine, orange buds, woods, amber, sandalwood and vanilla.",Eau de Parfum,"Bergamot, bitter orange, mandarin and ginger.","Rose, jasmine, orange buds.","vanilla, amber, sandalwood and mastic"
Mont Blanc Emblem,144 SAR,"Emblem is Montblanc's latest masculine arrival embodies a unique authentic essence. A burst of clary sage and cardamom mixed with sparkling grapefruit immediately reveals a strong, contrasted, harmonious and flamboyant fragrance. The crispy green frosted violet leaves wrapped in cinnamon leaves capture the incredibly elegant character of the fragrance. The dry-down is an alchemy of vibrant precious woods with tonka beans, unveiling a very unique signature.
About the brand:
The Mont Blanc is named after the snow-capped peak of the Alps. The firm has made a mark in the market for prestigious writing instruments for years, but has also expanded into a plethora of different product lines, from Swiss-made watches to eyewear and fragrances in an attempt to complete the luxurious lifestyle, all capped with the emblematic white peak design. The Mont Blanc has distinctive fragrances which are reminders of special moments, aimed at men and women who know how to distinguish themselves in a royal, elegant manner.",5,1 Rating,"['Mont Blanc', 'Men', 'Perfume', 'Charismatic', 'Woody Oriental', '100 ml', '2014', 'Grapefruit, Sage, Cardamom, Violet Leaf, Cinnamon, Wood, Tonka Bean', 'Eau de Toilette', 'Clary Sage, Cardamom, Grapefruit', 'Frozen Violet Leaf, Cinnamon', 'Woods, Tonka bean']",none,Mont Blanc,Men,Perfume,Charismatic,Woody Oriental,100 ml,2014,"Grapefruit, Sage, Cardamom, Violet Leaf, Cinnamon, Wood, Tonka Bean",Eau de Toilette,"Clary Sage, Cardamom, Grapefruit","Frozen Violet Leaf, Cinnamon","Woods, Tonka bean"
Dolce & Gabbana The One for Men EDT,239 SAR,"A woody fragrance for men characterized by its sense of elegance and charm, refreshing for all time, with a wonderful mixture of tobacco extract, spices, grapefruit, coriander and basil with accents of cardamom and ginger that highlight the beauty of your look.
About the brand:
Dolce & Gabbana was established in 1985 by two Italian fashion designers. Dolce & Gabbana has not only managed to build a loyal customer base in such a short span of time but it also partnered with Motorola and Sony Ericson for multiple campaigns. D&G has also partnered with football clubs namely AC Milan and Chelsea FC.",none,none,"['Dolce&Gabbana', 'Men', 'Perfume', 'Natural', 'Woody', '100 ml', '2008', 'Coriander, basil, grapefruit, ginger, orange buds, cardamom, amber, cedar, tobacco', 'Eau de Toilette', 'Grapefruit, Coriander, Basil', 'ginger, orange buds, cardamom', 'amber, cedar, tobacco']",none,Dolce&Gabbana,Men,Perfume,Natural,Woody,100 ml,2008,"Coriander, basil, grapefruit, ginger, orange buds, cardamom, amber, cedar, tobacco",Eau de Toilette,"Grapefruit, Coriander, Basil","ginger, orange buds, cardamom","amber, cedar, tobacco"
Maqam Base of Soul EDP - 120 ml,319 SAR,"It takes only one encounter to fall in love with this oriental fragrance & reside in your memories forever! It has been composed as a sensual aroma, taking you on a profound journey into the world of Eastern notes. You will wander between saffron & rose elegance, settling on a soulful base combined by musk & sandalwood.
About the brand:
A brand designed to capture the essence of Arabian literature & honor the beauty of its written poems. Each fragrance from Maqam has been designed with famous Golden verses, to carry both exotic blends & inspiring words. These timeless fragrances are not easy to resist nor to be forgotten. Maqam was created by the founders of Sarib® - An Arabian perfume house, to capture the magic behind Arabian words & aromatic components, added into creatively crafted bottles to present its luxurious scents perfectly.
Get to know Sarib®:
""A Story Behind Every Perfume"" Introducing Arabian aromatic drops with a unique approach that combines modern heritage and western inspiration. Each has its own identity with the finest ingredients & aromatic notes.
*Approved by the Saudi Food & Drug Authority",5,1 Rating,"['Maqam', 'Unisex', 'Perfume', 'Charismatic', 'Oriental', '120 ml', '2020', 'Saffron, Rose, Musk, Sandalwod', 'Eau de Parfum', 'Saffron', 'Rose', 'Musk, Sandalwod']",none,Maqam,Unisex,Perfume,Charismatic,Oriental,120 ml,2020,"Saffron, Rose, Musk, Sandalwod",Eau de Parfum,Saffron,Rose,"Musk, Sandalwod"
Orto Parisi Terroni,720 SAR,"The magic of nature is in harmony with the scents of cashmere and musk drops to caress your skin with an almost imperceptible force as the sun rays caress the earth and green rouge on it to increase the excitement of your feelings and your attraction towards your companion with all calm and love. The perfume was perfectly designed to be suitable for both men and women to enjoy exciting and special moments together.
About the brand:
Orto Parisi is a modern brand in the world of perfumes that was newly established in Italy in 2014 and presented a simple set of perfumes, but with a high value and became immediately sold on the global market.",5,1 Rating,"['Orto Parisi', 'Unisex', 'Perfume', 'Extravagant', 'Aromatic', '50 ml', '2017', 'Cashmere wood, cotton candy, cibriol, musk, cedar', 'Eau de Parfum', 'Cashmere wood, cotton candy', 'Cypriol', 'Musk, rice']",none,Orto Parisi,Unisex,Perfume,Extravagant,Aromatic,50 ml,2017,"Cashmere wood, cotton candy, cibriol, musk, cedar",Eau de Parfum,"Cashmere wood, cotton candy",Cypriol,"Musk, rice"
Versace Dylan Blue Pour Homme,245 SAR,"Aromatic fragrance for men reflects the colors of the Mediterranean Sea and its civilizations and contains distinctive fresh scents that have a sensual nature that combines desire, passion, ambition and sophistication with a mixture of bergamot, patchouli, musk, and saffron.
About the brand:
Versace deserves no introduction. It produces luxury Italian-made ready-to-wear and leather accessories. Versace has also succeeded in introducing and promoting a wide variety of perfumes for men and women.",5,4 Rating,"['Versace', 'Men', 'Perfume', 'Natural', 'Aromatic', '50 ml', '2016', 'Water Notes, Calabrian bergamot, Grapefruit, Fig Leaf, Violet Leaf, Papyrus, Patchouli, Black Pepper, Ambroxan, Musk, Incense, Tonka Bean, Saffron', 'Eau de Toilette', 'Calabrian bergamot, grapefruit, fig leaves', 'violet leaf, papyrus wood, organic patchouli, black pepper, ambrox', 'Mineral musks, tonka bean, incense, saffron.']",none,Versace,Men,Perfume,Natural,Aromatic,50 ml,2016,"Water Notes, Calabrian bergamot, Grapefruit, Fig Leaf, Violet Leaf, Papyrus, Patchouli, Black Pepper, Ambroxan, Musk, Incense, Tonka Bean, Saffron",Eau de Toilette,"Calabrian bergamot, grapefruit, fig leaves","violet leaf, papyrus wood, organic patchouli, black pepper, ambrox","Mineral musks, tonka bean, incense, saffron."
Chopard Oud Malaki,295 SAR,"Composition of the new fragrance CHOPARD OUD MALAKI offers luminous accords of grapefruit in the very top of the composition, along with aromatic blend of artemisia and lavender. The heart accentuates masculinity with leather accords combined with tobacco and spices, while base notes highlight oriental notes with a combination of oud, ambergris and mysterious, dark, woody notes..",4.88,5 Rating,"['Chopard', 'Unisex', 'Perfume', 'Glamorous', 'Oriental', '80 ml', '2012', 'Grapefruit, Lavender, Artemisia, Leather, Spices, Tobacco, Amber, Dark Wood, Agarwood', 'Eau de Parfum', 'Grapefruit, lavender, artemisia', 'Leather, spices, tobacco', 'Amber, dark woods, oud']",none,Chopard,Unisex,Perfume,Glamorous,Oriental,80 ml,2012,"Grapefruit, Lavender, Artemisia, Leather, Spices, Tobacco, Amber, Dark Wood, Agarwood",Eau de Parfum,"Grapefruit, lavender, artemisia","Leather, spices, tobacco","Amber, dark woods, oud"
