Name,Price,Description,Rate,Rating_count,Details,image,Brand,Gender,Product_Type,Character,Fragrance_Family,Size,Year,Ingredients,Concentration,Top_note,Middle_note,Base_note
Dolce & Gabanna L'imperatrice 3 Pour Femme,199 SAR,"Perfume for the energetic woman who is a hero in her movie in life every day! It keeps you vibrant and sparkling with irresistible attractiveness, a combination of kiwi, lemon and sandalwood.
About the brand:
Dolce & Gabbana was established in 1985 by two Italian fashion designers. Dolce & Gabbana has not only managed to build a loyal customer base in such a short span of time but it also partnered with Motorola and Sony Ericson for multiple campaigns. D&G has also partnered with football clubs namely AC Milan and Chelsea FC.",5,6 Rating,"['Dolce&Gabbana', 'Women', 'Perfume', 'Romantic', 'Floral', '100 ml', '2009', 'Watermerlon, Kiwi, Pink Cyclamen, Musk, Pink Pepper, Jasmine, Sandalwood, Lemon Tree', 'Eau de Toilette', 'Pink pepper, kiwi, rhubarb', 'jasmine, cyclamen, watermelon', 'musk, sandalwood, lemon trees.']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/4/3423473020615-dolce-_-gabbana-l_imperatrice-01_1_.png,Dolce&Gabbana,Women,Perfume,Romantic,Floral,100 ml,2009,"Watermerlon, Kiwi, Pink Cyclamen, Musk, Pink Pepper, Jasmine, Sandalwood, Lemon Tree",Eau de Toilette,"Pink pepper, kiwi, rhubarb","jasmine, cyclamen, watermelon","musk, sandalwood, lemon trees."
Roberto Cavalli Paradiso,169 SAR,"Woody floral fragrance, a subtle aroma that makes you feel fresh with a stunning blend of citrus, jasmine, and cypress.
About the brand:
Browse a wide range of original Roberto Cavalli perfumes, straight outta Italy. It would be safe to say that Roberto Cavalli has been successful in preserving its heritage and legacy.",4.95,17 Rating,"['Roberto Cavalli', 'Women', 'Perfume', 'Charismatic', 'Woody', '50 ml', '2015', 'Citrus, mandarin, bergamot, jasmine, pine, cypress, laurel.', 'Eau de Parfum', 'Citruses , Mandarin , Bergamot', 'Jasmine', 'Cypress, Parasol pine, Pink laurel']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3607347733423c-roberto-cavalli-paradiso---75-ml.jpg,Roberto Cavalli,Women,Perfume,Charismatic,Woody,50 ml,2015,"Citrus, mandarin, bergamot, jasmine, pine, cypress, laurel.",Eau de Parfum,"Citruses , Mandarin , Bergamot",Jasmine,"Cypress, Parasol pine, Pink laurel"
Yves Saint Laurent Libre,383 SAR,"This perfume is a reflection of Freedom, specially designed for bold women, for those who live by their own rules, to enjoy the unique fusion of French lavender & orange blossoms from Morrocco. A statement of freedom with an additional whiff of daring musky notes.
About the brand:
Yves Saint Laurent is a French design house, that was founded in 1961 by Yves Saint Laurent & his partner, Pierre Bergé. It has been known as one of the most iconic design houses, thanks to its modern designs. It produces clothes, shoes, jewelry, in addition to luxurious fragrances.",5,3 Rating,"['Yves Saint Laurent', 'Women', 'Perfume', 'Romantic', 'Floral', '90 ml', '2019', 'Mandarin Orange, lavendar, black currant, petitgrain, jasmine, orange blossom, vanilla, cedar, musk, ambergris', 'Eau de Parfum', 'Mandarin Orange, Lavendar, Black Currant, Petitgrain', 'Jasmine, Orange Blossom', 'Vanilla, Cedar, Musk, Ambergris']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614272648418c-yves-saint-laurent-libre---90-ml_1_.jpg,Yves Saint Laurent,Women,Perfume,Romantic,Floral,90 ml,2019,"Mandarin Orange, lavendar, black currant, petitgrain, jasmine, orange blossom, vanilla, cedar, musk, ambergris",Eau de Parfum,"Mandarin Orange, Lavendar, Black Currant, Petitgrain","Jasmine, Orange Blossom","Vanilla, Cedar, Musk, Ambergris"
Mancera Red Tobacco,499 SAR,"Mancera Red Tobacco is the new oriental, woody fragrance for men and women. Its the best oriental scent, full of life and attractiveness. This perfume contains a very high quality ingredients. A must have perfume!:
About the brand:
Mancera is a famous brand that produces a wide range of captivating range of feminine and masculine fragrances. You just have to do nothing when you wear a Mancera perfume; you automatically impress others. :",4.38,8 Rating,"['Mancera', 'Unisex', 'Perfume', 'Charismatic', 'Oriental', '120 ml', '2017', 'Saffron, Cinnamon, Incense, Nutmeg, White Peach, Green Apple & Nepalese Oud, Leaves of Patchouli, delicate Jasmine, Precious Tobacco, Amber, Woody Notes, Vetiver, Vanilla Pods, White Musk.', 'Eau de Parfum', 'Saffron, Cinnamon, Incense, Nutmeg, White peach, Green apple, Nepalese', 'Patchouli, Jasmine', 'Tobacco, Amber, Woody notes, Vetiver, Vanilla, White musk']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3607347733423c-mancera-red-tobacco---120-ml.jpg,Mancera,Unisex,Perfume,Charismatic,Oriental,120 ml,2017,"Saffron, Cinnamon, Incense, Nutmeg, White Peach, Green Apple & Nepalese Oud, Leaves of Patchouli, delicate Jasmine, Precious Tobacco, Amber, Woody Notes, Vetiver, Vanilla Pods, White Musk.",Eau de Parfum,"Saffron, Cinnamon, Incense, Nutmeg, White peach, Green apple, Nepalese","Patchouli, Jasmine","Tobacco, Amber, Woody notes, Vetiver, Vanilla, White musk"
Giorgio Armani Emporio Armani Stronger With You Intensely,375 SAR,"for every romantic gentle man, This strong fascinating fragrance is for you. It was released to capture all people hearts from the first smell to tell a story of an outstanding emotional man who is deeply in love and is ready to do anything for their lovers.
About the brand:
Girogio Armani has no competition when it comes to quality fragrances and perfumes for men and women. With an annual turnover of $1.6 billion as of 2017, Armani specializes in ready-to-wear, accessories, glasses, cosmetics, and perfumes. It is one of the most popular brands that have stopped using animal fur in their products.",5,3 Rating,"['Giorgio Armani', 'Men', 'Perfume', 'Charismatic', 'Aromatic', '100 ml', '2019', 'Spices, Violet, Lavender, Sweet Toffee, Caramel, Cinnamon, Suede, Vanilla, Amber', 'Eau de Parfum', 'Pink pepper, Juniper, Violet leaf', 'Lavender, Sage, Toffee, Cinnamon', 'Tonka bean, Suede, Amber, Vanilla']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614272225718-giorgio-armani-emporio-armani-stronger-with-you-intensely.jpg,Giorgio Armani,Men,Perfume,Charismatic,Aromatic,100 ml,2019,"Spices, Violet, Lavender, Sweet Toffee, Caramel, Cinnamon, Suede, Vanilla, Amber",Eau de Parfum,"Pink pepper, Juniper, Violet leaf","Lavender, Sage, Toffee, Cinnamon","Tonka bean, Suede, Amber, Vanilla"
Versace Eros Pour Femme EDP,229 SAR,"A woody floral fragrance, embodying love and beauty for the Greeks, that lasts long and is made of a blend of high-quality notes of peony, sensual wood, musk, and jasmine.
About the brand:
Versace deserves no introduction. It produces luxury Italian-made ready-to-wear and leather accessories. Versace has also succeeded in introducing and promoting a wide variety of perfumes for men and women.",4.79,7 Rating,"['Versace', 'Women', 'Perfume', 'Sophisticated', 'Woody', '100 ml', '2014', 'sicilian lemon, calabrian bergamot, pomegranate, lemon flower, sambac jasmine, jasmine infusion, peony, sandlewood, ambrox, musks, sensual wood.', 'Eau de Parfum', 'Sicilian lemon, Calabrian bergamot, Pomegranate', 'lemon, sambac jasmine, peony', 'Sandalwood, Ambrox, Musk,woods']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/v/e/versace-eros_pour_femme_1.jpg,Versace,Women,Perfume,Sophisticated,Woody,100 ml,2014,"sicilian lemon, calabrian bergamot, pomegranate, lemon flower, sambac jasmine, jasmine infusion, peony, sandlewood, ambrox, musks, sensual wood.",Eau de Parfum,"Sicilian lemon, Calabrian bergamot, Pomegranate","lemon, sambac jasmine, peony","Sandalwood, Ambrox, Musk,woods"
Roberto Cavalli Florence,167 SAR,"A chypre floral fragrance inspired by the city of Florence that known of its historical, artistic and cultural beauty, with a mixture of mandarin, grapefruit, patchouli, and amber.
About the brand:
Browse a wide range of original Roberto Cavalli perfumes, straight outta Italy. It would be safe to say that Roberto Cavalli has been successful in preserving its heritage and legacy.",4.83,5 Rating,"['Roberto Cavalli', 'Women', 'Perfume', 'Romantic', 'Floral', '50 ml', '2016', 'Mandarin, Orange, Black Currant, Orange Blossom, Grapefruit Blossom, Patchouli, Musk, Amber', 'Eau de Parfum']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614223519576c-roberto-cavalli-florence---75-ml.jpg,Roberto Cavalli,Women,Perfume,Romantic,Floral,50 ml,2016,"Mandarin, Orange, Black Currant, Orange Blossom, Grapefruit Blossom, Patchouli, Musk, Amber",Eau de Parfum,,,
Xerjoff Casamorati La Tosca,1403 SAR,"XERJOFF Casamorati La Tosca Perfume an amazing for women, such perfect works of art! You will adore this glorious, elegant, charming perfume completely!",none,none,"['Xerjoff', 'Women', 'Perfume', 'Feminine', 'Floral', '100 ml', '2015', 'Violet Leaf, Eucalyptus, Musk, Patchouli, Green Mandarin, Italian Lemon, Rose, Amber, Vanilla', 'Eau de Parfum']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8033488154585-xerjoff-casamorati-la-tosca.png,Xerjoff,Women,Perfume,Feminine,Floral,100 ml,2015,"Violet Leaf, Eucalyptus, Musk, Patchouli, Green Mandarin, Italian Lemon, Rose, Amber, Vanilla",Eau de Parfum,,,
Chopard Oud Malaki,295 SAR,"Composition of the new fragrance CHOPARD OUD MALAKI offers luminous accords of grapefruit in the very top of the composition, along with aromatic blend of artemisia and lavender. The heart accentuates masculinity with leather accords combined with tobacco and spices, while base notes highlight oriental notes with a combination of oud, ambergris and mysterious, dark, woody notes..",4.88,5 Rating,"['Chopard', 'Unisex', 'Perfume', 'Glamorous', 'Oriental', '80 ml', '2012', 'Grapefruit, Lavender, Artemisia, Leather, Spices, Tobacco, Amber, Dark Wood, Agarwood', 'Eau de Parfum', 'Grapefruit, lavender, artemisia', 'Leather, spices, tobacco', 'Amber, dark woods, oud']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_chopard_perfumes_oud_malaki_eau_de_parfum_80ml.jpg,Chopard,Unisex,Perfume,Glamorous,Oriental,80 ml,2012,"Grapefruit, Lavender, Artemisia, Leather, Spices, Tobacco, Amber, Dark Wood, Agarwood",Eau de Parfum,"Grapefruit, lavender, artemisia","Leather, spices, tobacco","Amber, dark woods, oud"
Dukhoon Al Kashkha Set,225 SAR,"This set contains:
- Remal Oud Wood Bakhoor - 60 gm
- Remal Rose & Oud Bakhoor - 60 gm
About the brand:
An inspiring incense collection created by the brand “Remal”, each Bakhoor highlights an original Arabic note, known for its nobility and significance in the perfume world. “Remal” introduces exquisite options for Bakhoor influenced but its Arabian heritage. Designed by experts who have mastered the extraction of oriental notes, to add it in distinctive high-quality incense for a luxurious & warm home environment. This Bakhoor brand is one of the latest Sarib launches & the most iconic.
Get to know Sarib®:
""A Story Behind Every Perfume"" Introducing Arabian aromatic drops with a unique approach that combines modern heritage and western inspiration. Each has its own identity with the finest ingredients & aromatic notes.",none,none,"['Remal', 'Bundles']",https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/s/b/sb100413-remal-dukhoon-al-kashkha-set.png,Remal,Bundles,,,,,,,,,,
