Name,Price,Rating,Brand,Gender,ProductType,Fragrance_family,Character,Ingredients,Concentration,Top_note,Middle_note,Base_note,Size,Year
Maqam Al Shoyoukh EDP - 120 ml,700 SAR,5,Maqam,Unisex,Perfume,Floral Oriental,Sensual,"Valerian, Lactonic (Milky), Fruity (Red Apple), Rose, Moroccan Jasmine, Lily, Amber, Woody (Virginia Cedarwood), Caramel, Musk",Eau de Parfum,"Valerian, Lactonic (Milky), Fruity (Red Apple)","Rose, Moroccan Jasmine, Lily","Amber, Woody (Virginia Cedarwood), Caramel, Musk",120 ml,2021
Guerlain Santal Royal Guerlain,862 SAR,none,Maqam,Unisex,Perfume,Floral Oriental,Sensual,"Valerian, Lactonic (Milky), Fruity (Red Apple), Rose, Moroccan Jasmine, Lily, Amber, Woody (Virginia Cedarwood), Caramel, Musk",Eau de Parfum,"Valerian, Lactonic (Milky), Fruity (Red Apple)","Rose, Moroccan Jasmine, Lily","Amber, Woody (Virginia Cedarwood), Caramel, Musk",120 ml,2021
Tom Ford Noir Extreme,759 SAR,none,Maqam,Unisex,Perfume,Floral Oriental,Sensual,"Valerian, Lactonic (Milky), Fruity (Red Apple), Rose, Moroccan Jasmine, Lily, Amber, Woody (Virginia Cedarwood), Caramel, Musk",Eau de Parfum,"Valerian, Lactonic (Milky), Fruity (Red Apple)","Rose, Moroccan Jasmine, Lily","Amber, Woody (Virginia Cedarwood), Caramel, Musk",120 ml,2021
Chopard Happy Spirit,177 SAR,none,Maqam,Unisex,Perfume,Floral Oriental,Sensual,"Valerian, Lactonic (Milky), Fruity (Red Apple), Rose, Moroccan Jasmine, Lily, Amber, Woody (Virginia Cedarwood), Caramel, Musk",Eau de Parfum,"Valerian, Lactonic (Milky), Fruity (Red Apple)","Rose, Moroccan Jasmine, Lily","Amber, Woody (Virginia Cedarwood), Caramel, Musk",120 ml,2021
Parfums de Marly Delina Hair Mist,322 SAR,none,Maqam,Unisex,Perfume,Floral Oriental,Sensual,"Valerian, Lactonic (Milky), Fruity (Red Apple), Rose, Moroccan Jasmine, Lily, Amber, Woody (Virginia Cedarwood), Caramel, Musk",Eau de Parfum,"Valerian, Lactonic (Milky), Fruity (Red Apple)","Rose, Moroccan Jasmine, Lily","Amber, Woody (Virginia Cedarwood), Caramel, Musk",120 ml,2021
Ajmal Raindrops,46 SAR,none,Ajmal,Women,Perfume,Floral,Glamorous,"Floral Notes , Woodsy Notes, Fruity Notes, Ambergris",Eau de Parfum,"Valerian, Lactonic (Milky), Fruity (Red Apple)","Rose, Moroccan Jasmine, Lily","Amber, Woody (Virginia Cedarwood), Caramel, Musk",120 ml,2021
Calvin Klein Euphoria Men Intense,145 SAR,4,Calvin Klein,Men,Perfume,Romantic,Perfume,2008,"ginger, hot pepper, warm cedar, smoky vetiver, savory sage, spicy black basil, myrrh, powerful labdanum, amber, somber earthy patchouli, musty agar wood",Eau de Toilette,"ginger, hot pepper","warm cedar, smoky vetiver, savory sage, spicy black basil",Soft Oriental,100 ml
Dolce & Gabbana Pour Femme Intense,269 SAR,4.8,Dolce&Gabbana,Women,Perfume,Modern,Perfume,2013,"green mandarin, neroli, tuberose, orange blossom, marshmallow, sandalwood.",Eau de Parfum,"Neroli, Green mandarin","Orange blossom, Tuberose",Floral Oriental,50 ml
"Roberto Cavalli ""Roberto Cavalli""",129 SAR,5,Roberto Cavalli,Women,Perfume,Floral Oriental,Modern,"Pink pepper, African orange flower, benzoin, tonka bean, vanilla.",Eau de Parfum,Pink pepper,"African orange flower,","benzoin, tonka bean, vanilla.",50 ml,2012
Who Am I Just Fly EDP - 100 ml,149 SAR,4.92,Who Am I,Unisex,Perfume,"Fruity,Woody",Natural,"Grapefruit, Orris, Cedarwood",Eau de Parfum,Grapefruit,Orris,Cedarwood,100 ml,2019
