Name,Price,Description,Rate,Rating_count,Details,image,Brand,Gender,Product_Type,Character,Fragrance_Family,Size,Year,Ingredients,Concentration,Top_note,Middle_note,Base_note
Roberto Cavalli Nero Assoluto,169 SAR,"An oriental floral fragrance that gives you the perfect presence wherever you go, with an amazing mixture of orchids, vanilla, and ebony.
About the brand:
Browse a wide range of original Roberto Cavalli perfumes, straight outta Italy. It would be safe to say that Roberto Cavalli has been successful in preserving its heritage and legacy.",4.5,3 Rating,"['Roberto Cavalli', 'Women', 'Perfume', 'Modern', 'Floral Oriental', '50 ml', '2013', 'Orchids, citrus fruits, vanilla, ebony, woods.', 'Eau de Parfum', 'Orchids, citrus fruits', 'Vanilla', 'woods, Ebony wood']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/roberto_cavalli_nero_absoluto_eau_de_parfum_1.jpg,Roberto Cavalli,Women,Perfume,Modern,Floral Oriental,50 ml,2013,"Orchids, citrus fruits, vanilla, ebony, woods.",Eau de Parfum,"Orchids, citrus fruits",Vanilla,"woods, Ebony wood"
Juicy Couture Viva La Juicy,252 SAR,"alluring and charming, this fragrance is inspired by the sparkling girl. the Viva la Juicy girl finds priceless elegance in the everyday. Viva la Juicy mixes attractive wild berries and mandarin with creamy vanilla, praline, jasmine, and honeysuckle. Hugging the imprint Juicy addiction, Viva la Juicy is both hilarious and charming.
About the brand:
Juicy Couture is a fashion brand, it has become popular in designing men's tuxedos, and it also creates many different product lines such as Juicy Couture, Couture Couture, Juicy for Men, pets for children and pets as well. Then it released its first parfume in 2006 and its latest releases in 2020.",4.75,6 Rating,"['Juicy Couture', 'Women', 'Perfume', 'Extravagant', 'Fruity', '100 ml', '2008', 'mandarin, Cranberry, Honeysuckle, Gardenia, Jasmine, amber, Caramel, Almond Candy, Sandalwood, Vanilla', 'Eau de Parfum', 'mandarin, Cranberry', 'capricorn, Gardenia, Jasmine,', 'Amber, Caramel, Almond Candy, Sandalwood, Vanilla']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/u/juicy_couture_viva_la_juicy.jpg,Juicy Couture,Women,Perfume,Extravagant,Fruity,100 ml,2008,"mandarin, Cranberry, Honeysuckle, Gardenia, Jasmine, amber, Caramel, Almond Candy, Sandalwood, Vanilla",Eau de Parfum,"mandarin, Cranberry","capricorn, Gardenia, Jasmine,","Amber, Caramel, Almond Candy, Sandalwood, Vanilla"
Chanel Coromandel,2681 SAR,"A lively oriental scent, lends you the beauty of its unique aroma, with an amazing blend of dry notes for benzoin and incense, and woody depth, to create for you an oriental fragrance rich in charm and full of contrasts.
About the brand:
Chanel needs no introduction; its high-quality and captivating collections of perfumes and fragrances for men and women are loved in every part of the world. Chanel has excelled in haute couture and ready-to-wear clothes, luxury goods, and fashion accessories. Chanel has also introduced a collection of watches and luxury jewelry.",none,none,"['Chanel', 'Unisex', 'Perfume', 'Sophisticated', 'Woody Oriental', '75 ml', 'Citrus, bitter orange, neroli, jasmine, rose, patchouli, iris, incense, frankincense, benzoin, woods, musk, tahitian vanilla, white chocolate.', 'Eau de Parfum', 'Citrus, bitter orange, neroli', 'jasmine, rose, patchouli, iris', 'incense, frankincense, benzoin, woods, musk, tahitian vanilla, white chocolate.']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_chanel_perfumes_coromandel_for_unisex_eau_de_perfum_3145891220902.png,Chanel,Unisex,Perfume,Sophisticated,Woody Oriental,75 ml,"Citrus, bitter orange, neroli, jasmine, rose, patchouli, iris, incense, frankincense, benzoin, woods, musk, tahitian vanilla, white chocolate.",Eau de Parfum,"Citrus, bitter orange, neroli","jasmine, rose, patchouli, iris","incense, frankincense, benzoin, woods, musk, tahitian vanilla, white chocolate.",
La Perla Divina,149 SAR,"La Perla Divina is a fruity, feminine fragrance that is perfect for either all-day or evening wear. Top notes of mandarin orange, pear, strawberry, and champagne blend seamlessly together to create a fruity accord with a zesty edge. Comprised of rose, African orange flower, and jasmine, the heart of the perfume anchors it in sweet floral. The aroma is rounded out with a combination of amber, musk, vanilla, and woody notes. This blend adds a subtle balsamic accord with hints of gourmand creaminess and earthiness. This flirty fragrance first hit the market it 2011.",5,1 Rating,"['La Perla', 'Women', 'Perfume', 'Romantic', 'Floral', '50 ml', '2007', 'Big Strawberry, Champagne, Pear, Calabrain Mandarin ,Jasmine, African Orange Flower, Rose,Musk, Amber, Vanilla, Woodsy Notes', 'Eau de Toilette', 'Big Strawberry, Champagne, Pear, Calabrain Mandarin', 'Jasmine, African Orange Flower, Rose', 'Musk, Amber, Vanilla, Woodsy Notes']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/a/la_perla_divina_edt_50ml_8002135096943.jpg,La Perla,Women,Perfume,Romantic,Floral,50 ml,2007,"Big Strawberry, Champagne, Pear, Calabrain Mandarin ,Jasmine, African Orange Flower, Rose,Musk, Amber, Vanilla, Woodsy Notes",Eau de Toilette,"Big Strawberry, Champagne, Pear, Calabrain Mandarin","Jasmine, African Orange Flower, Rose","Musk, Amber, Vanilla, Woodsy Notes"
Calvin Klein Ck Beauty,121 SAR,"A modern perfume full of confidence and luster, it is a mixture of femininity and sophistication because it reflects the inner and outer spirit and beauty of women with its amazing ingredients, such as white musk mixed with amber and pleasant floral scents.
About the brand:
Calvin Richard Klein founded the global brand """"Calvin Klein"""" in 1968. She started in the clothing industry and then moved on to presenting watches, jewelry, and feminine and masculine perfumes that captivate everyone from the first whiff.",5,2 Rating,"['Calvin Klein', 'Women', 'Perfume', 'Floral', '100 ml', 'Ylang-ylang, orange blossom, jasmine, sandalwood, vetiver', 'Eau de Parfum', 'Ylang-ylang, orange blossom', 'jasmine, sandalwood', 'vetiver']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_calvin_klein_perfumes_beauty_for_women_eua_de_parfum-1.jpg,Calvin Klein,Women,Perfume,Floral,100 ml,"Ylang-ylang, orange blossom, jasmine, sandalwood, vetiver",Eau de Parfum,"Ylang-ylang, orange blossom","jasmine, sandalwood",vetiver,,
Roberto Cavalli Paradiso Assoluto,137 SAR,"A chypre floral fragrance that represents the scents of a heavenly garden by its generous nature and dense flowers, and gives you an amazing refreshment, with a mixture of pink pepper, wild jasmine, and sandalwood.
About the brand:
Browse a wide range of original Roberto Cavalli perfumes, straight outta Italy. It would be safe to say that Roberto Cavalli has been successful in preserving its heritage and legacy.",5,2 Rating,"['Roberto Cavalli', 'Women', 'Perfume', 'Romantic', 'Floral', '75 ml', '2016', 'Pink pepper, Istria, bergamot, grapefruit, lemon, wild jasmine, red lily, love fruit, patchouli, sandalwood, vanilla, cashmere wood.', 'Eau de Parfum', 'Pink pepper, Istria, bergamot, grapefruit, lemon', 'wild jasmine, red lily, love fruit', 'patchouli, sandalwood, vanilla, cashmere wood.']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_roberto_cavalli_perfumes_paradiso_assoluto_for_women_eau_de_perfum.jpg,Roberto Cavalli,Women,Perfume,Romantic,Floral,75 ml,2016,"Pink pepper, Istria, bergamot, grapefruit, lemon, wild jasmine, red lily, love fruit, patchouli, sandalwood, vanilla, cashmere wood.",Eau de Parfum,"Pink pepper, Istria, bergamot, grapefruit, lemon","wild jasmine, red lily, love fruit","patchouli, sandalwood, vanilla, cashmere wood."
Parfums de Marly Delina Hair Mist,322 SAR,"Give your hair the romantic Turkish scent of roses with de Marley hair spray combining Valley Mercury scent and vanilla fragrance with a fruity mix of lychee and garden rhubarb, white musk and frankincense for a scent of depth and mystery.
About the brand:
The high-end brand of perfumes De Marley was founded in 2009 by Julian Spreicher, expressing creativity in a sophisticated and modern lifestyle in keeping with the heritage of the French court in the eighteenth century, a personal experience that simulates French elegance.",none,none,"['Parfums de Marly', 'Women', 'Hair Mist', 'Romantic', 'Floral', '75 ml', 'Bergamot, Rhubarb, Lychee, Nutmeg, Rose, Peony, Vanilla, Musk, Cashmeran, Woods', 'Rose, Peony', 'Lychee, Rhubarb, Nutmeg', 'Vanilla, White Musks and Frankincense']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/7/3700578521231_marly_delina_hair_mist_75_ml_1.jpg,Parfums de Marly,Women,Hair Mist,Romantic,Floral,75 ml,"Bergamot, Rhubarb, Lychee, Nutmeg, Rose, Peony, Vanilla, Musk, Cashmeran, Woods","Rose, Peony","Lychee, Rhubarb, Nutmeg","Vanilla, White Musks and Frankincense",,
Maqam Base of Soul EDP - 120 ml,319 SAR,"It takes only one encounter to fall in love with this oriental fragrance & reside in your memories forever! It has been composed as a sensual aroma, taking you on a profound journey into the world of Eastern notes. You will wander between saffron & rose elegance, settling on a soulful base combined by musk & sandalwood.
About the brand:
A brand designed to capture the essence of Arabian literature & honor the beauty of its written poems. Each fragrance from Maqam has been designed with famous Golden verses, to carry both exotic blends & inspiring words. These timeless fragrances are not easy to resist nor to be forgotten. Maqam was created by the founders of Sarib® - An Arabian perfume house, to capture the magic behind Arabian words & aromatic components, added into creatively crafted bottles to present its luxurious scents perfectly.
Get to know Sarib®:
""A Story Behind Every Perfume"" Introducing Arabian aromatic drops with a unique approach that combines modern heritage and western inspiration. Each has its own identity with the finest ingredients & aromatic notes.
*Approved by the Saudi Food & Drug Authority",5,1 Rating,"['Maqam', 'Unisex', 'Perfume', 'Charismatic', 'Oriental', '120 ml', '2020', 'Saffron, Rose, Musk, Sandalwod', 'Eau de Parfum', 'Saffron', 'Rose', 'Musk, Sandalwod']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maqam_base_of_soul-2.png,Maqam,Unisex,Perfume,Charismatic,Oriental,120 ml,2020,"Saffron, Rose, Musk, Sandalwod",Eau de Parfum,Saffron,Rose,"Musk, Sandalwod"
Roberto Cavalli Paradiso Azzurro,174 SAR,"A floral fragrance for women inspired by the pictures of the golden light of the sunrise over the blue Mediterranean waters, with its enchanting blend of bergamot, peach, Kashmiri wood and vanilla.
About the brand:
Browse a wide range of original Roberto Cavalli perfumes, straight outta Italy. It would be safe to say that Roberto Cavalli has been successful in preserving its heritage and legacy.",5,3 Rating,"['Roberto Cavalli', 'Women', 'Perfume', 'Romantic', 'Floral', '50 ml', '2015', 'Citrus freshness, bergamot, lavender, wild jasmine, petals, cypress, cashmere.', 'Eau de Parfum', 'Citrus, Bergamot, Lavender', 'wild jasmine, petals', 'Cypress, Cashmere woods']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_roberto_cavalli_perfumes_paradiso_azzurro_for_women_eau_de_parfum.jpg,Roberto Cavalli,Women,Perfume,Romantic,Floral,50 ml,2015,"Citrus freshness, bergamot, lavender, wild jasmine, petals, cypress, cashmere.",Eau de Parfum,"Citrus, Bergamot, Lavender","wild jasmine, petals","Cypress, Cashmere woods"
Versace Crystal Noir EDP,252 SAR,"An oriental floral fragrance for women, giving you the perfect sensuality and charm, with a wonderful mixture of cardamom, peony, musk, and amber.
About the brand:
Versace deserves no introduction. It produces luxury Italian-made ready-to-wear and leather accessories. Versace has also succeeded in introducing and promoting a wide variety of perfumes for men and women.",5,5 Rating,"['Versace', 'Women', 'Perfume', 'Modern', 'Floral Oriental', '90 ml', '2004', 'Ginger, cardamom, pepper, orange buds, peony, gardenia, coconut, sandalwood, musk, amber.', 'Eau de Parfum', 'Ginger, cardamom, pepper', 'orange buds, peony, gardenia, coconut', 'sandalwood, musk, amber.']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/v/e/versace_crystal_noir_eau_de_toilette_1.jpg,Versace,Women,Perfume,Modern,Floral Oriental,90 ml,2004,"Ginger, cardamom, pepper, orange buds, peony, gardenia, coconut, sandalwood, musk, amber.",Eau de Parfum,"Ginger, cardamom, pepper","orange buds, peony, gardenia, coconut","sandalwood, musk, amber."
